source,target
1437174199412420611,1436666122049310724
1437174197382438913,1437090392453812232
1437174196510068736,1436999101082652674
1437174193829806081,1437119335986712578
1437174180143718400,1437067453608169480
1437174179632140290,1437047494622564353
1437174176821956610,1436995860303384580
1437174173907005440,1436939145885011973
1437174168181739522,1437173164602273802
1437174154541731844,1437072222166732802
1437174152524406787,1437120461872279556
1437174149319782401,1437072803820232708
1437174127316639752,1437072803820232708
1437174118839902209,1436956294079000581
1437174112707874819,1437170171496570882
1437174102414987266,1436884710785912833
1437174102020837380,1436950799951728645
1437174096089939968,1437072803820232708
1437174085918855171,1437072803820232708
1437174085587333129,1437173791948349441
1437174084115202049,1432972305165176833
1437174079174455306,1436886480119468034
1437174075026116609,1436982577018118149
1437174074887786504,1436977248431640580
1437174067220656128,1436756618373382159
1437174060962701315,1437173526449082370
1437174060337688578,1437172018676436996
1437174060165648386,1437167426840547333
1437174059800928256,1436825813362561024
1437174055937921028,1437072803820232708
1437174048627245071,1437057096516780035
1437174044768489474,1437124174292660232
1437174042243567616,1437170171496570882
1437174037030096898,1437000319448330243
1437174030394658816,1437072803820232708
1437174023377592320,1437173526449082370
1437174017027416069,1437072803820232708
1437174008995328001,1437149643633217537
1437173998811430912,1437173884915228686
1437173989118459907,1437072803820232708
1437173982768377868,1437147104560959489
1437173982390730753,1437072803820232708
1437173980759269379,1437074683447300102
1437173979412828167,1437162999094067201
1437173971904970756,1437072803820232708
1437173965265440774,1436171597027504129
1437173958378393603,1436171597027504129
1437173955245142023,1437072803820232708
1437173953395449856,1437041955205107714
1437173952896507914,1437053599318749194
1437173952749744129,1437072803820232708
1437173948836458498,1437173884915228686
1437173946886103040,1437137019919114244
1437173937411088388,1436857617314369537
1437173933623500803,1437072803820232708
1437173928263364610,1437094880212398092
1437173921397280770,1437173854879817729
1437173917844660226,1437073241697361922
1437173908944347144,1437072803820232708
1437173908327776262,1436765181649031170
1437173906339680265,1437099483779764230
1437173906327150596,1437162400441061386
1437173894201233408,1437073241697361922
1437173888090263555,1437138505604423689
1437173882792943620,1437170171496570882
1437173882285400067,1437007900149436421
1437173881383661571,1437129100917891072
1437173880976814083,1436995860303384580
1437173880423129094,1437168333439254533
1437173857589383171,1437073241697361922
1437173857190830084,1437168778782121985
1437173852757368835,1437166629188558849
1437173847854178304,1437072222166732802
1437173843114725376,1437066967203020800
1437173842385031173,1437172807692169220
1437173819001630721,1437072803820232708
1437173817047232517,1436453196084416512
1437173790669221895,1437040934613569540
1437173789801029636,1437053959064231939
1437173788903362562,1436995860303384580
1437173775678717955,1437040896739094529
1437173773074059268,1437146081679364099
1437173769206960128,1437110038439546891
1437173763708268551,1437072641584771072
1437173760113606658,1437125345644359688
1437173744070537218,1436339390192787456
1437173741667045379,1437072803820232708
1437173741184761858,1436478309009813504
1437173736826834946,1437072803820232708
1437173729142902790,1437135076811214850
1437173728081858562,1437146683641450496
1437173723325472772,1436977893528141831
1437173719772844038,1437072803820232708
